student_id,age,grade_level,gender,region,family_income_level,ai_tool_usage_hours_per_week,traditional_study_hours_per_week,academic_performance_score,digital_literacy_score,creativity_score,critical_thinking_score,has_access_to_ai_tools,teacher_ai_training_level,school_ai_infrastructure_score,learning_engagement_score,personalized_learning_adoption
1,12,初中,男,二线城市,中,2.234623198545363,24.549904049771886,73.21626522785112,71.64981961578755,98.11492965144477,67.16292816270928,False,初级,38.85371714763298,29.130284344781835,True
2,9,高中,女,农村,高,6.633204682199114,10.324953123533081,55.22016136173198,44.330290654878475,65.847341145705,73.94535499052564,True,中级,80.32225823623159,93.70739343396404,True
3,16,初中,男,一线城市,中,0.00951702208326036,11.218981067892829,72.09217265554074,84.03644106103233,12.018985038872259,86.0018411303901,True,无,85.69221845144465,73.90613694176756,True
4,13,小学,女,农村,中,0.9943234868151255,17.864695016912464,82.98356605277276,63.536365949179945,73.59907332625076,93.09262065969247,True,无,80.48619728999611,29.529691077877956,False
5,10,小学,女,农村,中,2.3183719608560773,10.678049194678417,86.43765919038997,78.85464750927439,79.96310776337273,72.72068150076862,False,中级,94.23168263688592,44.74761495282468,True
6,12,小学,女,一线城市,高,0.5891151406898631,8.094549528549132,98.42911105780173,65.6137270576187,62.41421952897608,60.46571425919626,False,无,64.80649103226006,55.141330779092335,True
7,15,小学,男,二线城市,高,7.153551098745187,79.16065226497108,82.80352343738191,70.58236849501479,45.593925536298244,85.66329421907801,True,中级,63.89015368979804,71.99344880983199,False
8,8,小学,男,二线城市,低,3.1289235910273945,2.396202122202185,79.15369793699554,63.24543767402756,68.14047370000303,57.55109476788167,False,初级,42.40312896447069,55.65600367227562,False
9,12,小学,女,三线城市,低,1.9495907040071323,13.47410941670566,68.30557332728522,69.49249395645786,61.3293015899168,40.87455300646706,True,初级,94.97546653889587,57.760813058906486,False
10,16,初中,男,三线城市,高,5.057365916430332,32.555340392847086,65.0738938765049,85.00153115090461,52.439705442537345,83.96319571152542,True,中级,57.69590042696389,86.62285794107584,True
11,16,初中,女,三线城市,高,1.7983486723075184,17.43359035626759,89.55372772002234,39.67540941861552,50.85114873829449,90.50650148082937,True,中级,52.41067694396713,90.99815750672154,False
12,13,初中,女,三线城市,高,2.453771675688867,31.919811720357632,89.26605527608363,35.1415514736978,72.81224348087292,54.02920198274653,True,高级,50.17479887049938,87.19172546788002,False
13,10,初中,女,一线城市,中,0.008264359489089799,6.149660302874378,58.84480948726841,73.51729155277798,86.2543924070138,100.0,False,中级,75.91433938350252,45.82401774672594,True
14,9,小学,男,农村,中,1.3657022586508287,4.761668742567237,85.84643830730222,93.81148595815233,78.30778908394775,77.91188942020982,False,中级,62.08862416338451,87.08802123201895,False
15,13,小学,男,三线城市,中,0.4482523509855618,28.58458119097355,84.75575537093764,98.85489233602163,38.89603854540916,75.37735362540317,False,初级,64.73754357232639,64.33758296330217,True
16,13,初中,女,三线城市,中,3.5105376885074486,7.515965706025595,58.29286672478709,40.511795645798564,81.07860408200769,59.21633632038408,True,中级,51.8866267981244,100.0,True
17,8,初中,男,农村,中,1.9561709497280544,18.551692767334682,83.10685207183765,56.94252329195253,83.90453221648688,85.29390906014056,True,无,55.042489964761266,76.1644327607472,True
18,11,小学,男,三线城市,低,1.0775666920350109,2.3981054989039317,59.25680310777289,35.415694911101816,95.0865415152598,42.08557183857264,True,初级,56.29835959325293,91.46231040533954,False
19,10,高中,男,二线城市,高,1.8923900632003146,21.148857796015395,38.56060548489767,53.9877674722576,52.902020390345896,62.223562425196015,True,初级,95.53926280019968,80.89835275310506,False
20,7,初中,男,二线城市,高,0.705761840901184,11.943742019862373,72.59846379461925,87.45696190098724,68.9811524914367,55.536224988642196,False,初级,14.969209266367525,78.92538727510825,False
21,13,初中,女,二线城市,高,7.77426879870901,4.6921603193286,78.86722057882483,64.742164328832,80.21543650546897,45.748143247494404,False,无,71.20478280579621,66.11053355860129,False
22,17,小学,男,一线城市,低,0.16645134209554607,10.23322623317868,73.2739379267533,57.52251840752425,60.504033433487,82.67078674036617,True,无,87.20405862938895,91.31934335547571,False
23,11,初中,女,农村,中,6.016723296478536,17.907546561663466,100.0,75.9017151282242,79.93437730623931,73.79935410204529,False,初级,14.036796084013922,86.89592059551421,True
24,7,初中,女,一线城市,中,2.1483803343063217,0.1793642556099323,80.68276843852462,49.098958203810575,69.56752612807766,81.67975558830068,False,无,58.21303549354387,66.70288948135097,True
25,17,初中,男,三线城市,高,2.8944464508989176,15.219599048687325,77.20712728948051,96.85956729763714,54.76381330020017,63.268899848300165,False,初级,84.55276964956545,64.95428441212785,True
26,10,初中,女,三线城市,高,1.0812126137371973,11.69989494868585,81.44386954971137,65.14569944482948,56.29763970357017,84.7463523835424,False,初级,41.17578168918289,60.6008256163321,True
27,6,高中,女,一线城市,高,10.206378950455466,3.7324246251396915,68.38021493399853,56.964115140802015,92.48720841294741,69.31140985735834,True,初级,66.71352476842972,85.08083083655207,False
28,17,初中,男,农村,中,0.9932344584351585,20.97435482567168,88.94218593140309,76.73698469591223,52.064464076859906,59.97351232246838,True,无,36.70055424206205,75.78151811665654,False
29,15,小学,女,农村,高,2.666595793783448,5.42447206516873,80.41502919265652,83.78572320422093,48.97599488494695,57.138890985405666,False,初级,60.82713040283362,76.6026027296273,False
30,11,初中,女,三线城市,高,15.06965974613314,4.862305892178408,79.72757555838736,96.91950480298519,76.19881956517257,34.290635967377206,False,初级,91.93972443483847,66.23199580519805,False
31,17,初中,男,二线城市,中,6.388276042731414,9.557695355469424,65.63819665699592,60.800621874836715,69.4496898818351,87.79431215808793,True,高级,100.0,95.32474483158485,False
32,14,初中,男,一线城市,高,2.3057454296206634,16.912107605556358,51.5350451032636,86.72113045387434,46.390815206318706,85.86538787189089,True,无,66.38091711841967,48.17748728002418,True
33,6,小学,男,二线城市,中,13.93002551456502,39.64362596603685,67.47920866384064,67.02423223799994,60.65043686638856,100.0,True,中级,28.02586630529867,84.51420433638077,False
34,16,小学,男,二线城市,高,3.625648401190438,2.286034891143487,79.23950784389838,52.772399580526105,55.29793339131004,62.311465020829054,True,初级,52.238217824916234,87.71079556080528,False
35,16,高中,男,三线城市,低,0.7022359267905376,7.574346238483453,68.3295078038258,49.46376941991531,58.44998416755575,56.664508761322836,False,无,14.670767802865278,66.92118396823159,True
36,15,初中,女,农村,中,1.5605892304633189,1.0400838500070517,79.37590750601056,43.060331127339914,100.0,39.075601215954656,True,初级,52.65034196543848,48.80232478419225,True
37,17,高中,女,三线城市,低,1.2216198740567008,21.31643943644114,71.51457184715542,50.166120022217726,64.55356171586749,84.31942784458423,False,初级,84.117459313483,78.12020599429633,False
38,17,初中,男,农村,中,1.2648461610337491,8.905851813599027,81.45869226939786,87.31413243520167,54.13748300490133,80.40704938727625,False,初级,25.92793441812197,91.14383185323358,True
39,8,初中,男,三线城市,低,4.287059991247261,18.410112596735342,60.34763811187029,79.13419203572074,100.0,94.3802586280734,False,中级,54.823153929688516,100.0,False
40,17,初中,女,二线城市,低,2.63310676576117,5.833421897887788,77.89335017827622,40.175766881161,85.98858636746313,52.41708566982759,True,中级,39.59530420958119,82.51374779235294,True
41,12,高中,男,农村,中,0.11651162026311515,27.899024115909807,65.38568780472905,30.07218159570129,83.04686009053736,80.17821459590797,False,无,100.0,62.18032733268791,True
42,9,初中,男,二线城市,低,6.297671387326545,11.48022326266694,51.92575586804046,42.754136884071784,55.0043027025754,59.125310202129555,False,无,69.9671622463619,83.09288731102788,True
43,14,初中,女,农村,中,1.0563253323503865,43.13137222368498,72.52268815457438,49.46527583505703,91.44670043835711,90.84317529710776,True,初级,81.25934615364201,80.0084850436067,True
44,8,小学,女,二线城市,中,17.50325615462152,1.2314100382059485,98.0447636072707,58.93468578845983,84.6929425881911,77.11565706536881,True,初级,67.314890648603,77.14969443424212,True
45,10,初中,女,一线城市,高,9.24980644171199,10.831746227809626,53.12135388231027,88.45727046017429,72.64761247308427,41.55320147287296,False,中级,79.02459596490074,57.84582232781682,False
46,8,初中,男,农村,中,8.46688603946252,21.815723314140186,76.79088375591299,54.04566282200667,39.106543788299554,65.76965032547496,False,高级,87.01602172165394,81.57545889446004,True
47,12,小学,女,三线城市,中,5.000050937157248,13.750086373405578,86.96365594896336,98.60999920354547,69.6414399553991,34.88205855960097,False,无,60.95756143899144,79.51846007187306,False
48,10,小学,男,农村,中,0.747743973850612,0.3520103618942408,100.0,31.396002153572645,100.0,48.224210891439455,False,中级,46.720344109881026,100.0,False
49,14,小学,女,农村,高,2.2819197450595343,53.8158025750525,67.60600526329968,58.02734958475387,73.96689075535673,49.25244274660763,False,中级,36.618922134455126,73.4000530442302,True
50,12,小学,男,一线城市,中,0.761978453651843,5.312963650284471,65.51999093093531,80.71097338272803,63.22360251252647,57.10399536250731,True,中级,100.0,99.12593035025881,True
51,7,小学,男,三线城市,高,0.9019998462022032,4.3007953626709154,57.49961706091101,81.94410504732868,65.88776782440395,63.53434167192105,True,初级,80.5169663005411,94.26089729963533,True
52,9,初中,男,二线城市,中,2.8321558710729864,9.973057676366276,92.10774502269328,58.28572087223214,67.1334584773513,70.79791261629332,True,无,4.419951136086033,72.79907290259511,True
53,14,高中,女,三线城市,高,0.1250719442999968,11.718470511010946,61.98878506141387,85.03506867568393,55.6069441520151,69.94727691350353,True,中级,53.884405988661435,91.79512871116658,True
54,17,初中,女,三线城市,低,10.466013157057729,21.804994193837025,69.44105352336975,81.24392885013765,69.25759307146933,67.59438290019699,True,中级,70.40209012085542,59.46581716157627,True
55,7,小学,女,二线城市,高,7.52783800880745,7.495161388813508,47.26593183943117,51.35770681374979,95.9692215318199,73.65055227681759,True,高级,100.0,68.92521232209273,True
56,15,小学,男,三线城市,高,1.4378237625947725,8.696216121578612,88.2595776401779,71.29856936888844,93.93018782039762,46.753491097205064,False,中级,32.433108737600634,63.42753785064507,True
57,14,初中,女,三线城市,低,2.1734333832819406,11.484475122257223,92.3738742116704,79.0722656815369,56.42195361416684,69.2440381465819,True,初级,70.65876849391982,69.47946661228953,False
